Location,Business name,Star Rating,Address1,Address2,Town Country,Zipcode,Phone,Source URL
Lancashire,Holiday Inn Preston,3.9,The Ringway,,Preston,PR1 3AU,+44 1772 567000,https://www.google.com/travel/hotels/Lancashire/entity/ChcI8uOWy6Wg-5ZhGgsvZy8xdGhmZF8zNhAB?g2lb=2502548%2C2503781%2C4258168%2C4270442%2C4306835%2C4317915%2C4328159%2C4371335%2C4401769%2C4419364%2C4463666%2C4466981%2C4482194%2C4482438%2C4486153%2C4491350%2C4495816%2C4496891%2C4503421%2C4507899%2C4270859%2C4284970%2C4291517&hl=en-BD&gl=bd&ap=MABoAA&rp=OAFAAEgC&ictx=1&sa=X&utm_campaign=sharing&utm_medium=link&utm_source=htls&ts=CAESABpVCjcSMzIlMHg0ODdhNGQ0YzUyMjZmNWRiOjB4YjU0OTdkZDEwYzQ2MWI2NToKTGFuY2FzaGlyZRoAEhoSFAoHCOUPEAMYCRIHCOUPEAMYChgBMgIIAioPCgsoAUoCIAE6A0JEVBoA&ved=2ahUKEwiP7Zm61_juAhUbi2YCHWRHAigQyvcEegUIARCPAw
Lancashire,Barton Manor Hotel,4.4,746-768 Garstang Rd,Barton,Preston,PR3 5AA,+44 1772 862551,https://www.google.com/travel/hotels/Lancashire/entity/ChgIsI3I2vKemIb8ARoLL2cvMXRkOHludDcQAQ?g2lb=2502548%2C2503781%2C4258168%2C4270442%2C4306835%2C4317915%2C4328159%2C4371335%2C4401769%2C4419364%2C4463666%2C4466981%2C4482194%2C4482438%2C4486153%2C4491350%2C4495816%2C4496891%2C4503421%2C4507899%2C4270859%2C4284970%2C4291517&hl=en-BD&gl=bd&ap=MABoAA&rp=OAFAAEgC&ictx=1&sa=X&utm_campaign=sharing&utm_medium=link&utm_source=htls&ts=CAESABpVCjcSMzIlMHg0ODdhNGQ0YzUyMjZmNWRiOjB4YjU0OTdkZDEwYzQ2MWI2NToKTGFuY2FzaGlyZRoAEhoSFAoHCOUPEAMYCRIHCOUPEAMYChgBMgIIAioPCgsoAUoCIAE6A0JEVBoA&ved=2ahUKEwiP7Zm61_juAhUbi2YCHWRHAigQyvcEegUIARCmAw
Worthington,Macdonald Kilhey Court,4.0,Chorley Rd,Standish,Wigan,WN1 2XN,+44 344 879 9045,https://www.google.com/travel/hotels/Lancashire/entity/ChgI27LK2YHxj6usARoLL2cvMXZjbDM5YmcQAQ?g2lb=2502548%2C2503781%2C4258168%2C4270442%2C4306835%2C4317915%2C4328159%2C4371335%2C4401769%2C4419364%2C4463666%2C4466981%2C4482194%2C4482438%2C4486153%2C4491350%2C4495816%2C4496891%2C4503421%2C4507899%2C4270859%2C4284970%2C4291517&hl=en-BD&gl=bd&ap=MABoAA&rp=OAFAAEgC&ictx=1&sa=X&utm_campaign=sharing&utm_medium=link&utm_source=htls&ts=CAESABpVCjcSMzIlMHg0ODdhNGQ0YzUyMjZmNWRiOjB4YjU0OTdkZDEwYzQ2MWI2NToKTGFuY2FzaGlyZRoAEhoSFAoHCOUPEAMYCRIHCOUPEAMYChgBMgIIAioPCgsoAUoCIAE6A0JEVBoA&ved=2ahUKEwiP7Zm61_juAhUbi2YCHWRHAigQyvcEegUIARDSAw
Lancashire,Best Western Lancashire Manor Hotel,4.4,Prescott Road Wigan,35 Prescott Rd,Skelmersdale,WN8 9QD,+44 333 003 4187,https://www.google.com/travel/hotels/Lancashire/entity/ChkIqMD6oLL_kqRDGg0vZy8xMWI3eGw2eXNfEAE?g2lb=2502548%2C2503781%2C4258168%2C4270442%2C4306835%2C4317915%2C4328159%2C4371335%2C4401769%2C4419364%2C4463666%2C4466981%2C4482194%2C4482438%2C4486153%2C4491350%2C4495816%2C4496891%2C4503421%2C4507899%2C4270859%2C4284970%2C4291517&hl=en-BD&gl=bd&ap=EgNDQXcwA2gA&rp=OAFAAEgC&ictx=1&sa=X&utm_campaign=sharing&utm_medium=link&utm_source=htls&ts=CAESABpVCjcSMzIlMHg0ODdhNGQ0YzUyMjZmNWRiOjB4YjU0OTdkZDEwYzQ2MWI2NToKTGFuY2FzaGlyZRoAEhoSFAoHCOUPEAMYCRIHCOUPEAMYChgBMgIIAioPCgsoAUoCIAE6A0JEVBoA&ved=0CDQQyvcEahgKEwjgr9-41_juAhUAAAAAHQAAAAAQ6AE
Lancashire,Holiday Inn Express Preston - South,4.1,Reedfield Pl,Walton Summit Rd,Preston,PR5 8AA,+44 1772 289700,https://www.google.com/travel/hotels/Lancashire/entity/ChkIgc36l8flqvHoARoML2cvMTFoMGZxNTEzEAE?g2lb=2502548%2C2503781%2C4258168%2C4270442%2C4306835%2C4317915%2C4328159%2C4371335%2C4401769%2C4419364%2C4463666%2C4466981%2C4482194%2C4482438%2C4486153%2C4491350%2C4495816%2C4496891%2C4503421%2C4507899%2C4270859%2C4284970%2C4291517&hl=en-BD&gl=bd&ap=MABoAA&rp=OAFAAEgC&ictx=1&sa=X&utm_campaign=sharing&utm_medium=link&utm_source=htls&ts=CAESABpVCjcSMzIlMHg0ODdhNGQ0YzUyMjZmNWRiOjB4YjU0OTdkZDEwYzQ2MWI2NToKTGFuY2FzaGlyZRoAEhoSFAoHCOUPEAMYCRIHCOUPEAMYChgBMgIIAioPCgsoAUoCIAE6A0JEVBoA&ved=2ahUKEwiP7Zm61_juAhUbi2YCHWRHAigQyvcEegUIARC8Aw
Merseyside,Formby Hall Golf Resort & Spa,4.2,Southport Old Rd,Formby,Liverpool,L37 0AB,+44 1704 875699,https://www.google.com/travel/hotels/Lancashire/entity/ChUIl8HyxoK_mrhHGgkvbS8wZ2N6YjAQAQ?g2lb=2502548%2C2503781%2C4258168%2C4270442%2C4306835%2C4317915%2C4328159%2C4371335%2C4401769%2C4419364%2C4463666%2C4466981%2C4482194%2C4482438%2C4486153%2C4491350%2C4495816%2C4496891%2C4503421%2C4507899%2C4270859%2C4284970%2C4291517&hl=en-BD&gl=bd&ap=EgNDQXcwA2gA&rp=OAFAAEgC&ictx=1&sa=X&utm_campaign=sharing&utm_medium=link&utm_source=htls&ts=CAESABpVCjcSMzIlMHg0ODdhNGQ0YzUyMjZmNWRiOjB4YjU0OTdkZDEwYzQ2MWI2NToKTGFuY2FzaGlyZRoAEhoSFAoHCOUPEAMYCRIHCOUPEAMYChgBMgIIAioPCgsoAUoCIAE6A0JEVBoA&ved=0CEoQyvcEahgKEwjgr9-41_juAhUAAAAAHQAAAAAQ6AE
Lancashire,The Wrightington Hotel & Health Club,4.4,Moss Ln,Wrightington,Wigan,WN6 9PB,+44 1257 425803,https://www.google.com/travel/hotels/Lancashire/entity/ChgI9v7DnIT02e3dARoLL2cvMXRjXzNtcm4QAQ?g2lb=2502548%2C2503781%2C4258168%2C4270442%2C4306835%2C4317915%2C4328159%2C4371335%2C4401769%2C4419364%2C4463666%2C4466981%2C4482194%2C4482438%2C4486153%2C4491350%2C4495816%2C4496891%2C4503421%2C4507899%2C4270859%2C4284970%2C4291517&hl=en-BD&gl=bd&ap=EgNDQXcwA2gA&rp=OAFAAEgC&ictx=1&sa=X&utm_campaign=sharing&utm_medium=link&utm_source=htls&ts=CAESABpVCjcSMzIlMHg0ODdhNGQ0YzUyMjZmNWRiOjB4YjU0OTdkZDEwYzQ2MWI2NToKTGFuY2FzaGlyZRoAEhoSFAoHCOUPEAMYCRIHCOUPEAMYChgBMgIIAioPCgsoAUoCIAE6A0JEVBoA&ved=0CHYQyvcEahgKEwjgr9-41_juAhUAAAAAHQAAAAAQ6AE
Lancashire,Sandvilla Stays,5.0,Cockerham,,Lancaster,LA2 0EW,,https://www.google.com/travel/hotels/Lancashire/entity/ChoIo5SihbiEr6ilARoNL2cvMTFreGxuZ244NBAB?g2lb=2502548%2C2503781%2C4258168%2C4270442%2C4306835%2C4317915%2C4328159%2C4371335%2C4401769%2C4419364%2C4463666%2C4466981%2C4482194%2C4482438%2C4486153%2C4491350%2C4495816%2C4496891%2C4503421%2C4507899%2C4270859%2C4284970%2C4291517&hl=en-BD&gl=bd&ap=EgNDQXcwA2gA&rp=OAFAAEgC&ictx=1&sa=X&utm_campaign=sharing&utm_medium=link&utm_source=htls&ts=CAESABpVCjcSMzIlMHg0ODdhNGQ0YzUyMjZmNWRiOjB4YjU0OTdkZDEwYzQ2MWI2NToKTGFuY2FzaGlyZRoAEhoSFAoHCOUPEAMYCRIHCOUPEAMYChgBMgIIAioPCgsoAUoCIAE6A0JEVBoA&ved=0CCEQyvcEahgKEwjgr9-41_juAhUAAAAAHQAAAAAQ6AE
Lancashire,Riverside Barn,4.8,Ribchester,,Blackburn,PR3 3XS,+44 1254 878095,https://www.google.com/travel/hotels/Lancashire/entity/ChcI477g2PSxxOstGgsvZy8xdGYycnM3dhAB?g2lb=2502548%2C2503781%2C4258168%2C4270442%2C4306835%2C4317915%2C4328159%2C4371335%2C4401769%2C4419364%2C4463666%2C4466981%2C4482194%2C4482438%2C4486153%2C4491350%2C4495816%2C4496891%2C4503421%2C4507899%2C4270859%2C4284970%2C4291517&hl=en-BD&gl=bd&ap=EgNDQXcwA2gA&rp=OAFAAEgC&ictx=1&sa=X&utm_campaign=sharing&utm_medium=link&utm_source=htls&ts=CAESABpVCjcSMzIlMHg0ODdhNGQ0YzUyMjZmNWRiOjB4YjU0OTdkZDEwYzQ2MWI2NToKTGFuY2FzaGlyZRoAEhoSFAoHCOUPEAMYCRIHCOUPEAMYChgBMgIIAioPCgsoAUoCIAE6A0JEVBoA&ved=0CAsQyvcEahgKEwjgr9-41_juAhUAAAAAHQAAAAAQ6AE
Lancashire,BEST WESTERN Oaks Hotel,3.9,Colne Rd,,Burnley,BB10 2LF,+44 1282 414141,https://www.google.com/travel/hotels/Lancashire/entity/ChgI_OOGwtiboa-_ARoLL2cvMXR6Z2o1NzMQAQ?g2lb=2502548%2C2503781%2C4258168%2C4270442%2C4306835%2C4317915%2C4328159%2C4371335%2C4401769%2C4419364%2C4463666%2C4466981%2C4482194%2C4482438%2C4486153%2C4491350%2C4495816%2C4496891%2C4503421%2C4507899%2C4270859%2C4284970%2C4291517&hl=en-BD&gl=bd&ap=EgNDQXcwA2gA&rp=OAFAAEgC&ictx=1&sa=X&utm_campaign=sharing&utm_medium=link&utm_source=htls&ts=CAESABpVCjcSMzIlMHg0ODdhNGQ0YzUyMjZmNWRiOjB4YjU0OTdkZDEwYzQ2MWI2NToKTGFuY2FzaGlyZRoAEhoSFAoHCOUPEAMYCRIHCOUPEAMYChgBMgIIAioPCgsoAUoCIAE6A0JEVBoA&ved=0CGAQyvcEahgKEwjgr9-41_juAhUAAAAAHQAAAAAQ6AE
Lancashire,Wilson House Holiday Park,4.8,Lancaster Rd,Out Rawcliffe,Preston,PR3 6BN,+44 1995 912817,https://www.google.com/travel/hotels/Lancashire/entity/ChkIhJuMmZLj8vo3Gg0vZy8xMWZrdzlkZGM1EAE?g2lb=2502548%2C2503781%2C4258168%2C4270442%2C4306835%2C4317915%2C4328159%2C4371335%2C4401769%2C4419364%2C4463666%2C4466981%2C4482194%2C4482438%2C4486153%2C4491350%2C4495816%2C4496891%2C4503421%2C4507899%2C4270859%2C4284970%2C4291517&hl=en-BD&gl=bd&ap=EgNDQXcwA2gA&rp=OAFAAEgC&ictx=1&sa=X&utm_campaign=sharing&utm_medium=link&utm_source=htls&ts=CAESABpVCjcSMzIlMHg0ODdhNGQ0YzUyMjZmNWRiOjB4YjU0OTdkZDEwYzQ2MWI2NToKTGFuY2FzaGlyZRoAEhoSFAoHCOUPEAMYCRIHCOUPEAMYChgBMgIIAioPCgsoAUoCIAE6A0JEVBoA&ved=0CJ0BEMr3BGoYChMI4K_fuNf47gIVAAAAAB0AAAAAEOgB
Lancashire,Ramada by Wyndham Chorley South,4.2,M6 Northbound PR7 5LR,,Northbound,PR7 5LR,+44 1257 791746,https://www.google.com/travel/hotels/Lancashire/entity/ChoI0pK145-v_-GWARoNL2cvMTFnMDNqazlzahAB?g2lb=2502548%2C2503781%2C4258168%2C4270442%2C4306835%2C4317915%2C4328159%2C4371335%2C4401769%2C4419364%2C4463666%2C4466981%2C4482194%2C4482438%2C4486153%2C4491350%2C4495816%2C4496891%2C4503421%2C4507899%2C4270859%2C4284970%2C4291517&hl=en-BD&gl=bd&ap=EgNDQXcwA2gA&rp=OAFAAEgC&ictx=1&sa=X&utm_campaign=sharing&utm_medium=link&utm_source=htls&ts=CAESABpVCjcSMzIlMHg0ODdhNGQ0YzUyMjZmNWRiOjB4YjU0OTdkZDEwYzQ2MWI2NToKTGFuY2FzaGlyZRoAEhoSFAoHCOUPEAMYCRIHCOUPEAMYChgBMgIIAioPCgsoAUoCIAE6A0JEVBoA&ved=0CLMBEMr3BGoYChMI4K_fuNf47gIVAAAAAB0AAAAAEOgB
Lancashire,ibis budget Lancaster Centre,,King St,,Lancaster,LA1 1RE,+44 871 984 6453,https://www.google.com/travel/hotels/Lancashire/entity/ChkI-IG-mrvTjM0fGg0vZy8xMWxtOWJtOGdoEAE?g2lb=2502548%2C2503781%2C4258168%2C4270442%2C4306835%2C4317915%2C4328159%2C4371335%2C4401769%2C4419364%2C4463666%2C4466981%2C4482194%2C4482438%2C4486153%2C4491350%2C4495816%2C4496891%2C4503421%2C4507899%2C4270859%2C4284970%2C4291517&hl=en-BD&gl=bd&ap=EgNDQXcwA2gA&rp=OAFAAEgC&ictx=1&sa=X&utm_campaign=sharing&utm_medium=link&utm_source=htls&ts=CAESABpVCjcSMzIlMHg0ODdhNGQ0YzUyMjZmNWRiOjB4YjU0OTdkZDEwYzQ2MWI2NToKTGFuY2FzaGlyZRoAEhoSFAoHCOUPEAMYCRIHCOUPEAMYChgBMgIIAioPCgsoAUoCIAE6A0JEVBoA&ved=0CI0BEMr3BGoYChMI4K_fuNf47gIVAAAAAB0AAAAAEOgB
Lancashire,Pine Lake Resort by Diamond Resorts,4.5,A6,Warton,Carnforth,LA6 1JZ,+44 1524 738200,https://www.google.com/travel/hotels/Lancashire/entity/ChcI8-ewxb_UutsXGgsvZy8xdGwxbV92eRAB?g2lb=2502548%2C2503781%2C4258168%2C4270442%2C4306835%2C4317915%2C4328159%2C4371335%2C4401769%2C4419364%2C4463666%2C4466981%2C4482194%2C4482438%2C4486153%2C4491350%2C4495816%2C4496891%2C4503421%2C4507899%2C4270859%2C4284970%2C4291517&hl=en-BD&gl=bd&ap=EgNDQXcwA2gA&rp=OAFAAEgC&ictx=1&sa=X&utm_campaign=sharing&utm_medium=link&utm_source=htls&ts=CAESABpVCjcSMzIlMHg0ODdhNGQ0YzUyMjZmNWRiOjB4YjU0OTdkZDEwYzQ2MWI2NToKTGFuY2FzaGlyZRoAEhoSFAoHCOUPEAMYCRIHCOUPEAMYChgBMgIIAioPCgsoAUoCIAE6A0JEVBoA&ved=0CM0BEMr3BGoYChMI4K_fuNf47gIVAAAAAB0AAAAAEOgB
Lancashire,Winckley Square Hotel,4.8,10 Camden Pl,,Preston,PR1 3JL,+44 800 246 5555,https://www.google.com/travel/hotels/Lancashire/entity/ChoIm8jTp4raj5-dARoNL2cvMTFnMXZqMTJ6MRAB?g2lb=2502548%2C2503781%2C4258168%2C4270442%2C4306835%2C4317915%2C4328159%2C4371335%2C4401769%2C4419364%2C4463666%2C4466981%2C4482194%2C4482438%2C4486153%2C4491350%2C4495816%2C4496891%2C4503421%2C4507899%2C4270859%2C4284970%2C4291517&hl=en-BD&gl=bd&ap=EgNDQXcwA2gA&rp=OAFAAEgC&ictx=1&sa=X&utm_campaign=sharing&utm_medium=link&utm_source=htls&ts=CAESABpVCjcSMzIlMHg0ODdhNGQ0YzUyMjZmNWRiOjB4YjU0OTdkZDEwYzQ2MWI2NToKTGFuY2FzaGlyZRoAEhoSFAoHCOUPEAMYCRIHCOUPEAMYChgBMgIIAioPCgsoAUoCIAE6A0JEVBoA&ved=0COMBEMr3BGoYChMI4K_fuNf47gIVAAAAAB0AAAAAEOgB
