name,title,stars,review
Colin Cameron,Packing by Amazon was Terrible,4.0 out of 5 stars,I like Amazon basics batteries but these came in way to big of a box with no paper or air pouches or anything to keep them from flying around inside and the actual box of batteries broke open to packs of batteries all over the shipping box.
D Beans,The Bunny Battery vs the Amazon AAA Battery,5.0 out of 5 stars,"I like the prices of the Amazon brand batteries and decided to test them against the Energizer brand battery. I have two identical ThermoPro TP65A Indoor Outdoor Thermometer base units connected to three outdoor remote sensor units. I replaced the two AAA batteries in each unit at the same time, one with Energizer brand and the other with Amazon brand (gray) batteries. The units are in my kitchen on the side of the refrigerator, I see them every day. After 70 days I noticed the display on both units was not working. The unit with Energizer batteries faintly displayed only the lower indoor reading, and the unit with the Amazon batteries had a blank display. I tested the batteries with a ZTS Pulse Load Multi-Battery Tester. The Energizer batteries registered 20% power remaining, the Amazon batteries 10%. Neither battery had enough power remaining to power the display. Both displays quit working within 24 hours of each other. At half the price I consider the Amazon brand batteries a great value."
cocokru,Amazon AAA batteries,2.0 out of 5 stars,"They seem to work okay except a few fell apart. Out of 10 used ina toy 1 (left in pic) started unraveling, 1 lost some of its color (middle) and the other 8 are fine (example to the right). I’ve had batteries corrode before but never fall apart or change color so not sure if it’s okay or not but it sure makes me skeptical and I probably wouldn’t purchase again."
Bee,Solid little batteries.,5.0 out of 5 stars,"It could be my imagination, but I feel like I go through less batteries with these than the brand name. I have noise canceling headphones I wear multiple times daily (working and walking to work), so I go through a lot of AAA batteries. However, since I switched to these I don't seem to! Or they just give me so many so cheaply I don't notice as much. Either way. Good buy!"
watches the sky,Horrible life span!!,1.0 out of 5 stars,"I suppose the most honest thing about them is in their name...BASIC!! I use them in my blood pressure monitor. I take my BP twice a day and it only takes about 10 seconds. The batteries only last about 6 weeks. I've also used them in my air conditioner remote which I might use once or twice a day, just to turn it on or off. Again, after about 5 - 6 weeks, they stop working. They are also used in my Alexa/Echo remote which is used more often, yet, they last about 3 months in it. This is the first Amazon labeled/made product that I have bought that was not rated a 5. Don't buy these if you are looking for a long lasting battery."
wood,Most are dead or have little charge,1.0 out of 5 stars,I bought these in October 2017 and now in January 2018 I put them in a device and it didn't work at all. These were brand new out of the pack and there is zero charge in the battery. Of course it's now too late to return them. I would not buy these again. The come in shrink wrapped packs of four batteries. I opened four different packs and they are all dead.
Don Dudley,"Basic Battery, Basically Good",5.0 out of 5 stars,"We have a lot of things in our house, that for some reason, require triple A batteries. We have clocks, remotes, thermometers, keyboards, and more that need these. We got poor performance from rechargeable batteries in a lot of these devices so I elected to go the old fashioned way. The Amazon Basics brand has always seemed to do well and their AAA batteries are the same. They last a decent amount of time. Case in point, my son's bluetooth keyboard only got about a month out of the rechargeable batteries. So far he has not even seen a hint of needing to replace these and it has been almost two months (about 1.75 months as of this review). I will probably always look to buy these in the future. Far cheaper than even four batteries at the local grocery store."
Tony S. Dutton,These batteries do not recharge with either my duracell or ...,5.0 out of 5 stars,"These batteries do not recharge with either my duracell or other charger I've tried. I should say they do not charge the first time. Ended up tossing the whole bunch away. Either I'm doing something wrong or a whole lot of reviewers of this product are a lot luckier than me.OOps! My bad. I just now tried three more new batteries right out of the box and before trying to charge them, I put them directly into the flashlight. It worked perfectly, nice and bright. Evidently, I was trying to charge already fully charged batteries and kept getting the blinking red light on the charger. I went back to the trash can and pulled out about ten batteries I thought were defective. Live and learn. I take back all the bad I've said about these batteries. Yeah, my bad."
Alloftheabove,Haven’t had one fail yet,4.0 out of 5 stars,"I’ve used a lot of different brands of batteries and these have by far the most value when buying batteries regularly. I use them often for camera and audio equipment. I know some people are fans of rechargeable batteries but I’ve found even the more expensive ones to start to lose their capacity after a couple dozen charges. The price of these batteries is such that I’m ok buying brand new ones for each new shoot. I’ll take them out after the shoot and put them aside for remotes, flashlights and other items I’m ok with the battery dying and just heading up to the stash of half charged batteries for more. I do think some brands last longer than these but they are also way more expensive."
Benjamin Hendricks,Very Fast Drain,1.0 out of 5 stars,"I often buy Amazon Basic products, and until I tried their batteries I've never had a complaint. But these batteries drain faster than any but the absolute cheapest I've ever used. So no bargain there. You get what you pay for with this, unlike most other Amazon branded items."
Anita F.,Can't beat the price & they last just as long as the more expensive brands.,5.0 out of 5 stars,"I love to decorate for EVERY Holiday and EVERY Season.The majority of my Decorations either use batteries or need a battery operated candle.As one can imagine, I use ALOT of batteries. Buying the OVER PRICED Name Brand batteries was getting quite costly. I decided to try a store's generic brand. I was surprised that they were almost 1/2 the price yet worked just as long as the Name Brands.I do a lot of shopping on Amazon so I figured I'd give their generic brand a try too. You can NOT beat their price! I saved even more than I did buying the generic from the brick & mortar stores.I just started using them today.I used 24 today alone to light all of my Decorations. I've had them burning for 6hrs now. I have my Decorations set to come on for 6hours each night and then come back on again at the same time the next night. So, I will have them running every night for 6hours. So let's see how well these batteries hold up. I feel like they'll do the job comparible to the Name Brand batteries.UPDATE: Very pleased with the value and quality. These batteries last longer than expected and are dependable. I am a customer for life. P.S. Thank you for saving me money"
Giovanni Nocturna,A really short-lived battery,1.0 out of 5 stars,"I bought these AAA batteries mostly for use in high intensity flashlights, initially they work as well as other, more expensive batteries - but die a very premature death. While top end batteries last several hours, the AB ones started to dim after 15 - 20 minutes, and in some situations that can be very dangerous. I ended up just throwing out the rest of the package out because it's just not worth the risk of having a failure at the wrong time. 'The sting of poor quality lingers long after the pleasure of low price'"
Susanna White,Batteries die very quickly,1.0 out of 5 stars,"Purchased these for a few flawless LED candles that we had around the house for Christmas decor. After seeing the price, I was very excited to get a battery that according to other reviews would be great compared to the price of name brands batteries. A few of my candles took 3 batteries and some took 2, but within a week of installing these they started to die. Now, these candles were on a timer to turn on each day for six hours. That means the life of these batteries wasn't enough to for three of them to power an led candle for more than 42 hours before they started failing. Not worth the money I paid for this product."
Mullanphy Lane,this time I was sold a bill of goods,1.0 out of 5 stars,"I purchased a package of AmazonBasics 4-Count AAA High-Performance Alkaline Batteries, 10-Year Shelf Life, Easy to Open Value Pack... because the price was less than brand name batteries. I figured one battery is pretty much the same as another. I was wrong.When the batteries arrived I put two of them in my Sony digital audio recorder because the brand name batteries in had died after nearly a year's use. The two Amazon batteries were completely drained in less than 30 days, during which the recorder was not used at all. The claim is that they have a 3 year shelf life, but they leave out the fact that, once put into use, they last less than a month.I've purchased Amazon Basics products in the past and those products were satisfactory, but this time I was sold a bill of goods."
aly.me,SO good!,5.0 out of 5 stars,"Came in a cardboard box that holds all the batteries perfectly that is reusable so you can close it easily with all the batteries in it, not like an awkward plastic packaging like most batteries. And when you open that box, they are grouped and plastic wrapped in 4’s which is awesome!! Super easy to use, and close up when done, I’m a fan! Using them in lots of little LED desk lights for crafting, remote controls for fire sticks, and now some Christmas lights and I don’t know if they last the same as other name brands but I feel like they last longer?! I’ve had them in this LED light that I swear would normally have been dead weeks ago! So I will buy these amazon basics batteries from now on!"
Kathy and Vince,Junk,1.0 out of 5 stars,"Wife, unbeknownst to me, ordered these. Simply put, they suck!! They come “overcharged” , and they die a quick death, with occasional leakage!!!! Poor batteries!!What a shame! Amazon could’ve cornered the battery market too! I thought only a few manufacturers made all the batteries and just labeled them differently. Main takeaway here is : buy established name batteries . Look for 4.5 and up rating. Amazon should have a 4-5 rating scale. A product rated 4 stars can be junk. But 4.7,4.8..... now you’re talking!!! ( as long as there are no fake reviews)"
Reese Dianato,Disappointed after being pleased for several orders.,1.0 out of 5 stars,"I bought these before in AAA and AA and they were awesome! Then the last 2 orders I got were terrible. I had hoped that I had just received a bad batch and it was a fluke. Then I got my 2nd and now last order. I don't know how it's possible, but they were worse. I only use these in the little candles that are on a timer and come on for a few hours every night. They are lasting 10-14 days in these. If they are in the ones that cycle through colors, it's about 10 days, if they stay one color it's 14. In remote controls I'm getting about 3 months. Compared to ones purchased at dollar store markets, I was getting longer use from the dollar ones by about double, and using the Rayovac batteries I'm getting about 3 times as long. Don't know what happened to this brand, as I stated, when I first purchased these, they were as good as the higher priced batteries, but 2 times in a row of terrible lasting power isn't a fluke, it's a pattern and money is too tight with this economy right now to be wasting money. If I thought it would be worth it, I'd ask for my money back. But I threw away the batteries since they were dead. Value for money? They're cheap batteries, and you get short life, so I guess that's ""getting what you pay for"". But I removed them from my subscription list because I'd rather spend a few more dollars and have something I know is going to work."
Cowboy,These are like the Holiday Inn Express of batteries.,4.0 out of 5 stars,"These are decent batteries at a fair price. They do not have the best longevity of all the different AAA batteries that I've tried, but they get the job done and affordable enough that you can still replace them more often and still come out ahead. So let me give you a fair assessment, these are about 4 star batteries in the context of rating them on quality within the price range. These are like the Holiday Inn Express of batteries and not in the same league as a five diamond resort. They are great for remote controls, kids toys, small electronics, etc. I wouldn't use them on any medical or life safety equipment. Just keep in mind that you are ordering a value battery and you get what you pay for."
Shafqatullah Syed,Nice deal but leaked.,3.0 out of 5 stars,I am not giving this a five star rating because every batch had a battery or a few that leaked. It did not hit me at first but as I kept buying them I noticed it happens only with the Amazon batteries. I kept buying them because of the great price per item. I am glad they did not leak in an expensive electronic device. I think I am going with the costier solution for important items and these for my kids cheap toys.
L. Carothers,"Long time user of all batteries,  Amazon is just as good!",5.0 out of 5 stars,"I have been using Amazon's batteries on and off since they started offering them. They have a great lifespan. The important aspect of a battery for me is that I live in a hurricane possible area. Every couple of years it's time to check the battery supply for all the emergency items. Amazon batteries keep the same lifespan of the name brand batteries.In addition to the hurricane items, the daily use for remotes, everyday flashlights, and various other things, no complaints. Amazon batteries are just as good. IMO.I am a bit of a bargain shopper, so I do get the name brand when they are on a deal of the day, or have a vendor who marks them down. I am confident that I have the knowledge to give a fair assessment of the Amazon batteries."
Mike,Not worth more then 9.99,3.0 out of 5 stars,"I have never used or seen such crap batteries. If the price stays at 9.99 for 100 batteries then that would be ok for the quality vs price to go the distance. If your looking for a quality battery at a good price, this will still get the job done, just not as long as say a rayovac or some other off brand battery. If you have electronics that eat batteries do t use these. If you have something that’s dependent on batteries these are not it. Kids toys or something of that nature then these batteries are ok."
Becky,"I have bought these twice-my first purchase, I received ...",1.0 out of 5 stars,"I have bought these twice-my first purchase, I received the batteries in the silver packaging, had no issues, long battery life, etc. The second order I received the batteries in the gray packaging as pictured. I bought the second back in April, and last week I discovered that every unused battery that I hadn't used up and thrown out was leaking. I threw out 5 batteries one day, and found 3 more that were in use in remotes that needed to be thrown out as well because they had leaked, and had to throw out a remote as well since it had corroded inside.I'm not going to be buying again. I could forgive one leaking battery, but almost half the package? I'll either buy another brand for a bit more money and quality, or go to a local dollar store for the same quality and less money"
Donna Loves Reviews,Works just as well as the name brand and lasts longer!,5.0 out of 5 stars,"We use a lot of batteries in our household so I decided to give the Amazon batteries brand a try and we are all very pleased with how well they work. Before purchasing the Amazon brand we were all using the name brand batteries and it really got pricy with how often they needed to be replaced for all of our electronics. Luckily the brand we always used was out of stock and we needed batteries asap. After looking for an alternative to purchase I came across the Amazon batteries and read all of the reviews. I figured what do I have to lose by trying these even if they don't work out I can always use the as a spare in between purchases of the name brand.These batteries work very well and seem to last much longer than the previous batteries we had used. We use these for keyboards, mouses, remote controls, toys and so much more and they last a long time, which is very impressive. I use a bluetooth keyboard that connects to several devices so I can text and type on my phone and iPad daily and this keyboard lasts weeks before the batteries need to be replaced. That is much longer than the previous batteries. The batteries come in a brown box with the batteries wrapped in plastic. We are all very happy with this brand and will continue to purchase these batters. This is a product that I would recommend to others for sure."
Texas Five,I was very disappointed and will not be buying these again,2.0 out of 5 stars,"These were purchased for a banquet to illuminate lights in our centerpiece vases. I thought these would have had enough juice to get through the evening but more than half of the vases were failing an hour before the event conclusion. I was very disappointed and will not be buying these again. It's unfortunate that they are listed as ""performance"" batteries vs. some other descriptive name. I should have read the critical reviews more carefully and noted that these don't have as much power per cell as Rayovac or others. Strangely, we used very cheap no-name batteries last year for the same event that lasted the entire evening and then some. I couldn't remember where they came from so I had to look for substitutes. I thought I was making a good purchase with a trusted brand. Unfortunately, that assumption wasn't accurate."
Lisaico,Amazon's Quality Control is Slipping!,2.0 out of 5 stars,"I've purchased these batteries before and they are good quality and fairly inexpensive. But Amazon's quality control has got to step up! The battery box was opened from both ends and its contents spilled within the shipping box. No big deal, right. Except when I put all the batteries back in the box there's still space inside. So I decide to count the batteries...and find that an entire pack of 4 was missing! Which means that the busted pack of batteries was shipped to me without even checking to see if everything was there."
Tenchi,Inexpensive and gets the job done,3.0 out of 5 stars,"I've purchased these batteries at least 3 times before. It's inexpensive and convenient to have when everything these days requires AAA batteries. Thankfully, I haven't dealt with any leaky batteries. I'll update this review if I do.The main reason I'm docking off two stars is because they don't really last that long. These batteries tend to die in less 2 months, even when the battery powered product is not in continuous use."
Ashley Runski,Simply Do Not Believe All The One Star Reviews,5.0 out of 5 stars,"I use 10 to 15 AA and AAA Amazon batteries each and every month to power a range of professional electrical tools and meters that I must use for my work as a licensed electrician. I have never, repeat, never had the slightest problem with any of the Amazon batteries. I have never had so much as one leak acid or fail to properly fit. As an electrician, the first thing I do before putting any battery in a tool or meter is test its voltage. So far I have never had an Amazon that did not register either very strong or excellent before first use. Think this may be yet another case of folks who can't figure out how to use even the simplest thing giving up in frustration and giving whatever they don't understand a single star. Seems to happen all too often."
Theresa,"Don’t believe the hype, they work fine",5.0 out of 5 stars,"I bought these batteries a while ago and I am now buying a second pack. My child used most of them in his nerf guns without my permission 🤬 however... they are STILL holding up! Those nerf guns EAT batteries like super fast! So that was the real test for me.They didn’t come all nasty and exploded like you see in some reviews here, they were clean, in a cute little cardboard box and shrink wrapped nicely in groups of 4 each. I do remember them being in a large Amazon box for some reason, it was a little weird but what ever, that how they wanna send them over, that’s ok with me, it didn’t bother them at all.I will do another review when I get the second round in. I’m sure they will be fine too. I am pretty surprised to see all these bad reviews! These batteries are disposable, all these people are trying to recharge them and having issues... that’s the problem they are having. For a decent discount batterie, I am very satisfied."
R Teale,Came for the Hurlin'... Stayed for the Performance!,5.0 out of 5 stars,"I originally bought these Amazon Basics AAA Batteries for hurling at my church choir on early Sunday services (before Pastor Mike shows up, obvs). I sit off to the side and well, this is supposed to be a review of the batteries.I ended up needing a AAA battery to power up my Paw Patrol Walkman so I could crank up some Smash Mouth instead of having to listen to Pastor Mike babble on about Jesus for what feels like an eternity! Like seriously, I have other stuff to do on Sunday, too, dude!Anyway, I threw in a fresh Amazon Basics AAA battery, pressed Rubbles' nose and ""All Star"" never sounded so good! The beauty of meticulously crafted music took me away. It flew me up to the clouds and I hung around with the archangel Gabriel, and we rocked out!Since then I have been using these Amazon Basics AAA Batteries for everything that requires AAA batteries. I mean, I already bought them!Much love,Heather"
Joe,not all batteries are created equal,2.0 out of 5 stars,"First, I am a big Amazon shopper. Even before Covid, and most the Amazon product are great...but NOT these batteries. Some arrived dead out of the package, not many but a few. The others last literally 50% as long as Duracell or alternatives. I put them in these under the cabinet LED lights in my kitchen. These are low impact LEDS just to add accent lighting. They are only one when you approach them and for 5 minutes. These batteries literally lasted about a month (Each takes 8 batteries) … not good. I reloaded them and put 2 of them with Duracell regular batteries not the long lasting kind. The new Amazon batteries (second batch) died BEFORE the Duracell in the device right next to each other. No difference in demand but performance was literally 50%.These are not good batteries."
Karelia Stetz-Waters,Dead On Arrival Batteries,1.0 out of 5 stars,"I love Amazon Basics products, and I hope Amazon will see this review and make things right. I kept having trouble with battery powered devices around my house. After a lot of misguided troubleshooting (including requesting a replacement product from another company...I feel bad about that) I realized the problem was that about half my Amazon Basics batteries had no charge.When I went to message the seller, I found it was a lot harder to message Amazon than to message other sellers. When I looked for the Amazon Basics return/warranty policy, it was a long, impenetrable single-spaced document (as opposed to the easy click-to-return on my other purchases).This made me suspicious of Amazon Basics products, and I probably won't any Amazon Basics again...unless the nice folks at Amazon read this and send me a pack of replacement batteries."
Gregory D. Rosenberg,Great value for the price.,5.0 out of 5 stars,"I have been very happy with the AmazonBasics batteries in general. I use AAA, AA, 9v, C, and D batteries. I am hoping that AmazonBasics will start offering high-energy lithium batteries. It would also be good to have a readable expiration date on the batteries. I change 98 batteries twice a year in April and September. The high energy lithium typically have a temperate range of -40F to +140F. Which means they effectively have zero water content and therefore wont freeze in crack in our often brutal Chicago winters."
Melissa Mills,Crappy batteries for sure!,1.0 out of 5 stars,"I bought the batteries specifically for my puck light set and I placed them under the kitchen cabinets. Well I had only used them maybe 3 times for 30 minutes each time on a timer with the remote. They had only been installed for about a month. I tried using them a couple days ago and each puck light would not come on! I thought, maybe it's the puck lights because surely these batteries should last longer than 30 days and I had used the lights maybe 3 times already for 30 minutes like I said. So, I changed the batteries in all 4 lights. Now they are all working again. So, the Amazon batteries are pretty crappy and a waste of my money. The new batteries I just installed about a week ago are already starting to get dimmer in the puck lights so they look like they are dying quickly as well again. I will NEVER purchase Amazon batteries again!!?"
J. Basile,Why you should and why you shouldn't!,5.0 out of 5 stars,"Amazon strikes again! I cannot explain the love I have for amazon.com. I recommend it to everyone that I meet and I do almost every single one of my purchases through this company.Now to make things even better Amazon has batteries.Why you should:These batteries arrived quickly, they arrived fresh in terms of longevity and have so far worked very well for our purposes. You get an enormous quantity for such a reasonable price that even if some of the batteries were bad on arrival (which I have not found to be the case) I still think it is so worth it.Why you shouldn't:If you hate good deals then stay clear of this product!batteries are amazing and they help you do amazing things. These batteries in particular are absolutely fantastic and worth every penny of your hard-earned money!"
LoriAnnR,Zero longevity,1.0 out of 5 stars,"I'm stunned at the positive rating these batteries have. They are TERRIBLE! I'm constantly replacing these In my battery operated LED candles. My candles are lit for a few hours daily and I've replaced the batteries 4-5 times already (within 3-weeks). Longevity is aweful...complete waste of money. If there was a way to return them, I would but considering that I only have about 1/2 left, I don't believe that would be possible. I won't be purchasing these again."
Danny E Sieg,"""Best Packs of Batteries I ever Bought!""",5.0 out of 5 stars,"I've been purchasing various sizes of Batteries since the 1960's and the day's of transistor radios and flashlights. Batteries have always been a constant source to drain my pocket or wallet of cash. I did hesitate a bit at first, after all, being endocrined by that the cute, little ""Energizer Bunny"" banging that cymbal as he kept going and going and going... you know the drill. Then the opposition ""Duracell"" brought claims that quarantined longer lasting staying power or your money back. Pretty tough computing no matter what. Yet, Amazon, has a reputation and warranty for products bearing the ""Amazon"" lable, which is proven, tested and witnessed by me, Danny E. Sieg. The AAA Batteries have been used me for last 3 to 4 years and work as well or better than the other products mentioned. I still have AA Energizer's left from a 10 pack and still purchased two sleeves of AA Amazon batteries, on seperate orders, because I have found them to be better."
D.Woodward,As good as most,4.0 out of 5 stars,These batteries are used frequently because of a motion toy one of the cats wants on. They don't last for long periods but when compared to more known brands--they last about the same amount of time. My complaint is that they are wrapped in groups of 4 and have to be opened by scissors and take a while to get the wrap peeled off .I am not anxious to stand there and try to unpeel the wrap.Most all the batteries out there are even harder to get unwrapped except for the ones you can get in a box already unwrapped--and in the AAA size-I have not yet found those.
Randy Edwards,Low Voltage = DOA,1.0 out of 5 stars,"I purchased 36 of the AAA Amazon batteries about 6 months prior. I put 6 new ones in a device (electric pepper mill) and thouight that the device was broken. I tried again 3 months later....checked the batteries in the never used device and they were 1.25 v in all 6 batteries. I thought that there might be a voltage leak in the device, so I put in 6 new batteries (brand new, still wrapped in their cellophane wrappers). The device still would not work. I was ready to thow the mill out, but I thought to check the new batteries that I just installed and they too were all 1.25 v. That voltage (1.25 v) is considered to be a dead battery for AAA alkalines.Amazon owes me and others some sort of restitution. Also, I wouid like to know if they have done anything to change the sourcing of their so-called ""economy "" AAA alkaline batteries.Amazon, get back to me and tell me!!!!!!!!"
Kris,THEY DON'T WORK WHEN THEY ARE COLD,1.0 out of 5 stars,"Really wanted to like these batteries, great value and they do work well...INDOORS.Put them in a flashlight which I keep in my Yukon, It's cold here in Portland Oregon ( Nov. 2018 ). Went to use my flashlight the other night and it would not illuminate. Brought the flashlight inside and changed the batteries and it worked fine. The next morning, just for my own piece of mind, I put the previous batteries back in the flashlight and seeing as they had warmed up to room temperature they too worked fine. Put the flashlight back in the Yukon and waited until the temperatures dropped after nightfall and again, no illumination. These batteries are basically worthless for anything other than indoor applications. By the way, Energizer Alkaline batteries work just fine in cold temperatures so I don't want to hear the ""should have bought lithium batteries"" comments."
Muledography,Batteries are Garbage!  They don't last!,1.0 out of 5 stars,"I was so excited to find the low cost of these batteries from Amazon - was very impressed that the per battery price was lower than even Costco Kirkland batteries (which I have been buying for years).... But now that I have been using them, I can see the quality is horrible and the reason they are cheap is because they don't last! :( I have used my Mac with wireless keyboard and mouse for the last 9 years... during that time, I usually have to replace the batteries every few months (4-6 months) under normal usage, maybe 2-3 months if using more than normal. However in both of these accessories since installing the Amazon basics batteries, I have had to replace batteries already twice now in about 6 weeks. This is crazy. Have gone through 4 batteries on each of the accessories (8 total) in the time that I would have gone by just fine with HALF the amount of batteries. Won't buy again!"
