Brand,Model,Size,Price,Sidewall,Load Index,Speed Rating,Ply Rating,UTQG,Max Single Load(lbs),Max Single Air Pressure(PSI),Tread Depth,Tread Design,Rim Width Range,Measured Rim Width,Section Width,Tread Width,Overall Diameter,Manufacturer #,URL
Trac Gard,N775 Sawtooth,2.80-4,$ 15.18,Not Available,Not Available,Not Available,B/4PR,Not Available,295,50,3.0,Nondirectional,2.25-2.25,2.25,2.9,Not Available,9.0,27795003,https://www.tires-easy.com/2.80-4/trac-gard-tires/n775-sawtooth/tirecode/27795003
Greenball,Stud Lawn and Garden Tire,3.50-4,$ 13.77,Not Available,Not Available,Not Available,B/4PR,Not Available,352,50,5.0,Nondirectional,Not Available,2.5,3.7,Not Available,10.6,G4224S,https://www.tires-easy.com/3.50-4/greenball-tires/stud-lawn-and-garden-tire/tirecode/G4224S
Nanco,P301 Wheelbarrow Rib,4.00-6,$ 14.55,Not Available,Not Available,Not Available,A/2PR,Not Available,290,24,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,28315002,https://www.tires-easy.com/4.00-6/nanco-tires/p301-wheelbarrow-rib/tirecode/28315002
Trac Gard,N775 Sawtooth,4.10-4,$ 13.52,Not Available,Not Available,Not Available,B/4PR,Not Available,350,50,5.0,Nondirectional,3.25-3.25,3.25,3.9,Not Available,10.5,27854002,https://www.tires-easy.com/4.10-4/trac-gard-tires/n775-sawtooth/tirecode/27854002
Trac Gard,N766 Turf,11X4.00-4,$ 14.42,Not Available,Not Available,Not Available,B/4PR,Not Available,330,46,3.0,Nondirectional,3.25-3.25,3.25,4.1,Not Available,10.7,27782004,https://www.tires-easy.com/11-4.00-4/trac-gard-tires/n766-turf/tirecode/27782004
Greenball,Rib Lawn and Garden Tire,13X5.00-6,$ 14.75,Not Available,Not Available,Not Available,B/4PR,Not Available,Not Available,Not Available,Not Available,Nondirectional,Not Available,Not Available,Not Available,Not Available,Not Available,G6752S,https://www.tires-easy.com/13-5.00-6/greenball-tires/rib-lawn-and-garden-tire/tirecode/G6752S
Deestone,D601-TR-13,4.00-8,$ 13.64,Not Available,Not Available,Not Available,A/2PR,Not Available,435,30,3.0,Nondirectional,2.5-2.5,2.5,4.0,Not Available,16.0,DS7162,https://www.tires-easy.com/4.00-8/deestone-tires/d601-tr-13/tirecode/DS7162
Greenball,Wheelbarrow,4.80/4.00-8,$ 13.49,Not Available,Not Available,Not Available,B/4PR,Not Available,670,Not Available,Not Available,Nondirectional,Not Available,2.5,8.0,Not Available,16.0,G8182S,https://www.tires-easy.com/4.80-4.00-8/greenball-tires/wheelbarrow/tirecode/G8182S
Greenball,Sawtooth Lawn and Garden,4.10-6,$ 13.42,Not Available,Not Available,Not Available,B/4PR,Not Available,440,50,5.0,Nondirectional,3.25-3.25,3.25,3.7,Not Available,12.7,G6324S,https://www.tires-easy.com/4.10-6/greenball-tires/sawtooth-lawn-and-garden/tirecode/G6324S
Deestone,D268-Trailer,20.5X8.00-10,$ 43.22,Not Available,84,J,C/6PR,Not Available,1100,50,8.0,Nondirectional,6.0-6.0,6.0,8.0,Not Available,20.4,DS7111,https://www.tires-easy.com/20.5-8.00-10/deestone-tires/d268-trailer/tirecode/DS7111
GBC,Mini Master,AT19X6.00-10,$ 43.06,Not Available,Not Available,Not Available,A/2PR,Not Available,Not Available,Not Available,11.0,Not Available,Not Available,Not Available,6.06,Not Available,19.02,AE101906MM,https://www.tires-easy.com/19-6.00-10/gbc-tires/mini-master/tirecode/AE101906MM
Power King,Turf,3.50-4,$ 13.47,Not Available,Not Available,Not Available,B/4PR,Not Available,350,50,3.0,Nondirectional,Not Available,3.2,3.9,Not Available,10.7,LWW05,https://www.tires-easy.com/3.50-4/power-king-tires/turf/tirecode/LWW05
Accelera,Eco Plush,175/70R13,$ 43.96,BSW,82,H,Not Available,400AA,1045,44,9.3,Not Available,Not Available,5.0,9.3,Not Available,22.7,1200026937,https://www.tires-easy.com/175-70-13/accelera-tires/eco-plush/tirecode/1200026937
Patriot,RB-1,Other sizes,Loading,BSW,86,T,Not Available,360AA,Not Available,Not Available,10.1,Not Available,4.5-5.5,5.5,7.4,Not Available,23.5,RSC0063,https://www.tires-easy.com/185-65-14/patriot-tires/rb-1/tirecode/RSC0063
Solar,4XS+,Other sizes,Loading,BSW,84,H,Not Available,440AA,1102,44,10.0,Not Available,Not Available,5.5,7.4,Not Available,23.7,SLR73,https://www.tires-easy.com/185-60-15/solar-tires/4xs+/tirecode/SLR73
Patriot,RB-1,Other sizes,Loading,BSW,88,H,Not Available,360AA,Not Available,Not Available,10.1,Not Available,5.5-6.5,6.0,7.9,Not Available,24.2,RSC0065,https://www.tires-easy.com/195-60-15/patriot-tires/rb-1/tirecode/RSC0065
Westlake,RP18,Other sizes,Loading,BSW,88,T,Not Available,500AA,1235,44,Not Available,Nondirectional,5.5-5.5,5.5,7.4,Not Available,24.3,24235025,https://www.tires-easy.com/185-70-14/westlake-tires/rp18/tirecode/24235025
Westlake,RP18,185/60R14,$ 50.06,BSW,82,H,Not Available,500AA,1047,44,Not Available,Nondirectional,6.0-6.0,6.0,7.4,Not Available,22.8,24615031,https://www.tires-easy.com/185-60-14/westlake-tires/rp18/tirecode/24615031
Radar,RPX 900,175/70R14,$ 50.06,BSW,84,T,Not Available,460AA,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,ACC0124,https://www.tires-easy.com/175-70-14/radar-tires/rpx-900/tirecode/ACC0124
Ironman,GR906,175/70R14,$ 50.56,BSW,84,T,Not Available,440AA,1102,44,9.5,Not Available,4.5-6.0,Not Available,7.0,Not Available,23.7,92586,https://www.tires-easy.com/175-70-14/ironman-tires/gr906/tirecode/92586
Deestone,D601-Rib,4.00-6,$ 13.42,Not Available,Not Available,Not Available,B/4PR,Not Available,670,50,4.0,Nondirectional,2.38-2.38,2.38,4.0,Not Available,13.6,DS7146,https://www.tires-easy.com/4.00-6/deestone-tires/d601-rib/tirecode/DS7146
OTR,Grassmaster,Other sizes,Loading,Not Available,Not Available,Not Available,B/4PR,Not Available,780,22,Not Available,Not Available,Not Available,7.0,8.0,Not Available,17.7,T8041885010,https://www.tires-easy.com/18-8.50-10/otr-tires/grassmaster/tirecode/T8041885010
Doral,SDL-Sport,185/60R14,$ 50.55,BSW,82,H,Not Available,440AA,1047,51,10.0,Not Available,Not Available,5.5,7.52,Not Available,22.8,DOR32,https://www.tires-easy.com/185-60-14/doral-tires/sdl-sport/tirecode/DOR32
Doral,SDL-Sport,Other sizes,Loading,BSW,88,S,Not Available,440AB,1235,51,10.0,Not Available,Not Available,5.5,7.52,Not Available,24.25,DOR24,https://www.tires-easy.com/185-70-14/doral-tires/sdl-sport/tirecode/DOR24
Presa,PS01,Other sizes,Loading,BSW,82,H,Not Available,360AA,1047,44,10.0,Not Available,5.0-6.5,5.5,7.6,Not Available,22.8,TP16040200,https://www.tires-easy.com/185-60-14/presa-tires/ps01/tirecode/TP16040200
Carlisle,Turf Saver,Other sizes,Loading,BSW,Not Available,Not Available,B/4PR,Not Available,1020,24,Not Available,Not Available,Not Available,7.0,9.6,Not Available,18.1,6L05011,https://www.tires-easy.com/18-9.50-8/carlisle-tires/turf-saver/tirecode/6L05011
Nika,Avatar,195/60R15,$ 50.22,BSW,88,H,Not Available,500AA,1234,36,10.0,Not Available,6.5-7.0,6.0,7.7,Not Available,24.2,N34413,https://www.tires-easy.com/195-60-15/nika-tires/avatar/tirecode/N34413
Advanta,ER-700,175/70R13,$ 50.11,BSW,82,T,Not Available,460AB,1047,Not Available,10.0,Not Available,Not Available,5.0,6.97,Not Available,22.68,ER700230,https://www.tires-easy.com/175-70-13/advanta-tires/er-700/tirecode/ER700230
Achilles,122,185/60R13,$ 50.13,BSW,80,H,Not Available,440AA,992,44,10.0,Nondirectional,5.0-6.5,5.5,7.44,Not Available,21.73,MAF186013,https://www.tires-easy.com/185-60-13/achilles-tires/122/tirecode/MAF186013
OTR,Grassmaster,Other sizes,Loading,Not Available,Not Available,Not Available,B/4PR,Not Available,825,24,Not Available,Not Available,Not Available,7.0,9.11,Not Available,18.33,T804188508,https://www.tires-easy.com/18-8.50-8/otr-tires/grassmaster/tirecode/T804188508
Radar,RPX 900,165/55R14,Loading,BSW,72,T,Not Available,460AA,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,ACC0293,https://www.tires-easy.com/165-55-14/radar-tires/rpx-900/tirecode/ACC0293
Ironman,GR906,155/80R13,$ 43.38,BSW,79,T,Not Available,440AA,963,44,9.5,Not Available,4.0-5.0,Not Available,6.2,Not Available,22.8,92582,https://www.tires-easy.com/155-80-13/ironman-tires/gr906/tirecode/92582
Carlisle,Sawtooth,5.30-6,$ 43.54,Not Available,Not Available,Not Available,C/6PR,Not Available,885,95,Not Available,Nondirectional,Not Available,3.5,5.3,Not Available,14.6,519067,https://www.tires-easy.com/5.30-6/carlisle-tires/sawtooth/tirecode/519067
Hi-Run,SU03,18.5X8.50-8,$ 42.38,Not Available,Not Available,Not Available,C/6PR,Not Available,940,50,8.2,Not Available,Not Available,Not Available,8.4,Not Available,18.2,WD1018,https://www.tires-easy.com/18.5-8.50-8/hi-run-tires/su03/tirecode/WD1018
OTR,Chevron,18X8.50-8,$ 43.25,Not Available,Not Available,Not Available,B/4PR,Not Available,825,22,Not Available,Not Available,Not Available,7.0,8.39,Not Available,17.64,T5604188508,https://www.tires-easy.com/18-8.50-8/otr-tires/chevron/tirecode/T5604188508
Forceland,Kunimoto F20,175/65R14,$ 50.08,BSW,82,H,Not Available,500AA,1047,44,10.0,Not Available,Not Available,Not Available,7.0,Not Available,23.0,F03514,https://www.tires-easy.com/175-65-14/forceland-tires/kunimoto-f20/tirecode/F03514
Arroyo,Grand Sport 2,175/70R13,$ 43.45,BSW,82,H,Not Available,400AA,1047,44,10.0,Not Available,Not Available,Not Available,6.9,Not Available,22.6,AGS207,https://www.tires-easy.com/175-70-13/arroyo-tires/grand-sport-2/tirecode/AGS207
Radar,RPX 900,185/70R13,$ 50.03,BSW,86,H,Not Available,460AB,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,ACC0296,https://www.tires-easy.com/185-70-13/radar-tires/rpx-900/tirecode/ACC0296
Carlisle,Sport Trail LH,5.30-12,$ 43.46,Not Available,Not Available,Not Available,B/4PR,Not Available,855,55,6.0,Nondirectional,Not Available,4.0,5.3,Not Available,21.6,6H01391,https://www.tires-easy.com/5.30-12/carlisle-tires/sport-trail-lh/tirecode/6H01391
Nanco,N701 Front Knobby,21X7.00-10,$ 42.26,Not Available,Not Available,Not Available,A/2PR,Not Available,205,5,13.0,Nondirectional,5.5-5.5,5.5,6.7,Not Available,21.0,30180001,https://www.tires-easy.com/21-7.00-10/nanco-tires/n701-front-knobby/tirecode/30180001
Otani,EK1000,185/65R14,$ 50.31,BSW,86,V,Not Available,500AA,1168,44,10.0,Asymmetrical,Not Available,5.5,7.5,Not Available,23.4,S053F,https://www.tires-easy.com/185-65-14/otani-tires/ek1000/tirecode/S053F
Federal,Formoza Gio,155/80R13,$ 50.37,BSW,79,T,Not Available,420AA,963,44,9.0,Nondirectional,4.0-5.0,4.5,6.2,4.4,22.7,A55D3A,https://www.tires-easy.com/155-80-13/federal-tires/formoza-gio/tirecode/A55D3A
OTR,Grassmaster,20X10.00-10,$ 50.53,Not Available,Not Available,Not Available,B/4PR,Not Available,1170,22,Not Available,Not Available,Not Available,7.0,9.17,Not Available,19.49,T80420100010,https://www.tires-easy.com/20-10.00-10/otr-tires/grassmaster/tirecode/T80420100010
Carlisle,Farm Specialist I-1,5.90-15,Loading,Not Available,Not Available,Not Available,B/4PR,Not Available,1140,36,Not Available,Nondirectional,Not Available,4.5,6.3,Not Available,26.3,51F252,https://www.tires-easy.com/5.90-15/carlisle-tires/farm-specialist-i-1/tirecode/51F252
Otani,EK1000,175/70R13,Loading,BSW,82,T,Not Available,500AA,1047,44,9.0,Asymmetrical,Not Available,5.0,7.2,Not Available,22.6,S051R,https://www.tires-easy.com/175-70-13/otani-tires/ek1000/tirecode/S051R
Carlisle,Sport Trail LH,4.80-12,Loading,Not Available,Not Available,Not Available,C/6PR,Not Available,990,90,6.0,Nondirectional,Not Available,4.0,5.0,Not Available,20.6,6H01301,https://www.tires-easy.com/4.80-12/carlisle-tires/sport-trail-lh/tirecode/6H01301
OTR,Grassmaster,16X7.50-8,Loading,Not Available,Not Available,Not Available,B/4PR,Not Available,760,22,Not Available,Not Available,Not Available,5.375,7.0,Not Available,16.0,T804167508,https://www.tires-easy.com/16-7.50-8/otr-tires/grassmaster/tirecode/T804167508
Nanco,S-366K/N786,18X8.50-8,$ 41.83,Not Available,Not Available,Not Available,B/4PR,Not Available,815,22,8.0,Nondirectional,7.0-7.0,7.0,8.4,Not Available,17.7,27245009,https://www.tires-easy.com/18-8.50-8/nanco-tires/s-366k-n786/tirecode/27245009
Deestone,D306-Ind. Lug W/Rim Guard,5.00-8,$ 42.07,Not Available,Not Available,Not Available,D/8PR,Not Available,1830,115,16.0,Nondirectional,3.0-3.0,3.0,5.1,Not Available,18.5,DS6121,https://www.tires-easy.com/5.00-8/deestone-tires/d306-ind-lug-w-rim-guard/tirecode/DS6121
Americus,Touring Plus,155/80R12,$ 42.03,BSW,77,T,Not Available,500AA,910,44,10.0,Not Available,4.0-5.0,4.5,6.2,Not Available,21.8,AMD0010,https://www.tires-easy.com/155-80-12/americus-tires/touring-plus/tirecode/AMD0010
WDT,P361,22X7-10,$ 41.93,Not Available,Not Available,Not Available,C/6PR,Not Available,255,7,Not Available,Directional,Not Available,5.5,6.97,Not Available,22.01,P36122710C,https://www.tires-easy.com/22-7-10/wdt-tires/p361/tirecode/P36122710C
Carlisle,Turf Master,15X6.50-8,$ 41.36,Not Available,Not Available,Not Available,B/4PR,Not Available,585,28,Not Available,Nondirectional,Not Available,5.38,6.2,Not Available,15.0,6L03071,https://www.tires-easy.com/15-6.50-8/carlisle-tires/turf-master/tirecode/6L03071
Westlake,RP18,155/80R13,Loading,BSW,79,T,Not Available,500AA,963,44,Not Available,Nondirectional,4.5-4.5,4.5,6.2,Not Available,22.8,24160017,https://www.tires-easy.com/155-80-13/westlake-tires/rp18/tirecode/24160017
Atturo,ST200,Other sizes,Loading,Not Available,95/90,L,E/10PR,Not Available,1520,50,9.0,Not Available,Not Available,4.0,5.8,Not Available,21.3,ST200-1451210,https://www.tires-easy.com/145-12/atturo-tires/st200/tirecode/ST200-1451210
Deestone,D265-Turf,Other sizes,Loading,Not Available,86,A3,B/4PR,Not Available,1170,22,6.0,Nondirectional,8.0-8.0,8.0,10.0,Not Available,20.0,DS7045,https://www.tires-easy.com/20-10.00-10/deestone-tires/d265-turf/tirecode/DS7045
Deestone,D266-Turf,Other sizes,Loading,Not Available,89,A3,C/6PR,Not Available,1280,34,8.0,Nondirectional,8.0-8.0,8.0,10.0,Not Available,20.0,DS7067,https://www.tires-easy.com/20-10.00-10/deestone-tires/d266-turf/tirecode/DS7067
OTR,HBR Lawn Trac,16X7.50-8,$ 43.02,Not Available,Not Available,Not Available,B/4PR,Not Available,710,24,Not Available,Not Available,Not Available,5.375,7.13,Not Available,16.42,T10004167508,https://www.tires-easy.com/16-7.50-8/otr-tires/hbr-lawn-trac/tirecode/T10004167508
Vee Rubber,City Star V2,Other sizes,Loading,BSW,79,T,Not Available,400AA,963,35,10.5,Not Available,Not Available,4.5,6.2,Not Available,22.9,V31202,https://www.tires-easy.com/155-80-13/vee-rubber-tires/city-star-v2/tirecode/V31202
Deestone,D266-Turf,Other sizes,Loading,Not Available,78,A3,B/4PR,Not Available,935,20,7.8,Not Available,Not Available,7.0,9.3,Not Available,18.2,DS9825,https://www.tires-easy.com/18-9.50-8/deestone-tires/d266-turf/tirecode/DS9825
Deestone,D258,Other sizes,Loading,Not Available,Not Available,Not Available,B/4PR,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,DS7000,https://www.tires-easy.com/205-50-10/deestone-tires/d258/tirecode/DS7000
Greenball,Soft Turf Lawn and Garden,Other sizes,Loading,Not Available,Not Available,Not Available,B/4PR,Not Available,330,46,4.0,Nondirectional,2.5-2.5,2.5,3.9,Not Available,10.5,G5524S,https://www.tires-easy.com/11-4.00-5/greenball-tires/soft-turf-lawn-and-garden/tirecode/G5524S
Power King,Sawtooth Rib,3.50-4,$ 14.29,Not Available,Not Available,Not Available,B/4PR,Not Available,350,50,5.0,Nondirectional,Not Available,2.5,3.7,Not Available,10.7,SSW05,https://www.tires-easy.com/3.50-4/power-king-tires/sawtooth-rib/tirecode/SSW05
