School Name,Physical Address,Postal Address,Email,Phone,SchoolMgt Name,Designation,Mobile,Email_2
St Johns Catholic College,"54 Salonika St, The Gardens, NT","Mail Bag 13, Darwin, 0820, NT",admin.stjohns@nt.catholic.edu.au,(08) 8982 2222,Toffoli,Principal,08 8982 2222,amelia.toffoli@nt.catholic.edu.au
St Francis Xavier School,"n/a, Nauiyu, NT","PMB 28, Daly River, 0822, NT",dr.adminbox@nt.catholic.edu.au,(08) 8978 2427,McGinlay,Principal,08 89782427,kellie.mcginlay@nt.catholic.edu.au
St Francis of Assisi Catholic Primary School,"56 Challoner Cct, Humpty Doo, NT","PO Box 921, Humpty Doo, , NT",admin.sfas@nt.catholic.edu.au,(08) 8988 1212,Bolwell,Principal,08 89881212,mel.bolwell@nt.catholic.edu.au
St Andrew Lutheran School,"94 Leanyer Dr, Leanyer, NT","PO Box 1146, Howard Springs, 0831, NT",admin@goodshepherd.nt.edu.au,(08) 8983 0300,Prenzler,Principal,(08) 8983 0300,principal.sals@ntschools.net
Sattler Christian College,"15 Sattler Cres, Freds Pass, NT","PO Box 1138,, Coolalinga, 0839, NT",admin.scc@ntschools.net,7922 1500,Tooler,Principal,7922 1500,michael.tooler@ntschools.net
Shepherdson College,"Wakirana St, Galiwinku, 0822, NT","PMB 74, via WINELLIE, 0822, NT",principal.shepherdson@education.nt.gov.au,(08) 8987 9044,Hewett,Principal,(08) 8987 9044,joe.hewett@education.nt.gov.au
Sanderson Middle School,"60 Matthews Rd, Malak, 0812, NT","PO Box 189, SANDERSON, 0813, NT",sanderson.middle@education.nt.gov.au,(08) 8927 8899,McIntosh,Principal,(08) 8927 8899,robert.mcintosh@education.nt.gov.au
Sacred Heart Primary School,"34 Emery Ave, Woodroffe, NT","PO Box 271, Palmerston, 0831, NT",admin.shps@nt.catholic.edu.au,(08) 8924 8700,Mulvahil,Principal,08 8924 8700,gez.mulvahil@nt.catholic.edu.au
Royal Darwin Hospital School,"Rocklands Drive, Tiwi, Tiwi, 0810, NT","C/o Nakara Primary School, Goodman St, NAKARA, 0810, NT",tania.nicholls@education.nt.gov.au,(08) 8922 8736,Nicholls,Principal,(08) 8922 8736,tania.nicholls@education.nt.gov.au
Rosebery Primary School,"Belyuen Road Rosebery, Rosebery, 0832, NT","PO Box 650, PALMERSTON, 0832, NT",roseberyps.admin@education.nt.gov.au,(08) 792 30100,Banicek,Assistant Principal 2,(08) 792 30100,Danielle.banicek@education.nt.gov.au
Ross Park Primary School,"7 Winnecke Ave, Alice Springs, 0870, NT","PO Box 364, ALICE SPRINGS, 0871, NT",rosspark.school@ntschools.net,(08) 895 52000,Berriman,Administration Manager,(08) 895 52000,naomi.berriman@education.nt.gov.au
Robinson River School,"N/A, Robinson River, NT","PMB 145, Katherine, 0851, NT",merryn.curley@education.nt.gov.au,(08) 8975 9956,Curley,Principal,(08) 8975 9956,merryn.curley@education.nt.gov.au
Rockhampton Downs School,"Community ID 259, Wogyala, NT","PMB 34, Tennant Creek, 0862, NT",nerida.beattie@education.nt.gov.au,(08) 8964 4675,Beattie,Principal,(08) 8964 4675,nerida.beattie@education.nt.gov.au
Pularumpi School,"Pularumpi, Pirlangimpi, NT","PMB 51, via Winnellie, 0822, NT",kerry.romanis@education.nt.gov.au,(08) 8978 3961,McGregor,Business Manager,(08) 894 49281,bev.mcgregor@education.nt.gov.au
Ramingining School,"N/A, Ramingining, 0822, NT","PMB 125, via WINNELLIE, 0821, NT",sue.mcavoy@education.nt.gov.au,(08) 8979 7924,Broadbent,Business Manager,(08) 894 49277,margaret.broadbent@education.nt.gov.au
Pine Creek School,"N/A, Pine Creek, 0847, NT","PO Box 196, Pine Creek, 0847, NT",cheryl.glasgow@education.nt.gov.au,(08) 8976 1228,Glasgow,Principal,(08) 8976 1228,cheryl.glasgow@education.nt.gov.au
Pigeon Hole School,"N/A, Pigeon Hole, NT","PMB 10, via Katherine, 0852, NT",anne.pollock@education.nt.gov.au,(08) 8975 0812,Kelly,Administration Manager,(08) 897 25359,Stevie.kelly@education.nt.gov.au
Peppimenarti School,"N/A, Peppimenarti, NT","PMB 49, via Winnellie, 0822, NT",chelsea.collins@education.nt.gov.au,(08) 8978 2455,Collins,Principal,(08) 8978 2455,chelsea.collins@education.nt.gov.au
Parap Primary School,"52 Urquhart Street, Parap, 0820, NT","PO Box 69, PARAP, 0804, NT",parapps.office@education.nt.gov.au,(08) 898 22922,Gribben,Administration Manager,(08) 898 22922,debby.gribben@education.nt.gov.au
Papunya School,"N/A, Papunya, 0872, NT","PMB 77, via Alice Springs, 0872, NT",papunya.admin@education.nt.gov.au,(08) 8956 8515 or (08) 8956 8323,Ball,Administration Manager,(08) 895 11661,michelle.ball@education.nt.gov.au
Palmerston Christian School,"50 Waler Road, Marlow Lagoon, Marlow Lagoon, NT","PO Box 113, Palmerston, 0831, NT",admin.pcs@ntschools.net,(08) 7922 5600,McAllister,Principal,(08) 7922 5600,ken.mcallister@ntschools.net
Palmerston College,"10 Tilston Ave, Driver, 0830, NT","PO Box 8, PALMERSTON, , NT",Palmerston.college@education.nt.gov.au,(08) 899 77999,Banks,Principal,(08) 899 77999,natalie.banks@education.nt.gov.au
Owen Springs Education Centre,"Stuart Highway, Alice Springs, 0870, NT","PO Box 4856, Alice Springs, 0871, NT",joel.hohn@education.nt.gov.au,(08) 8958 5088 / (08) 8958 5089,Hohn,Principal,8958 5088 / 9858 5089,joel.hohn@education.nt.gov.au
OLSH Primary School,"5 Bath St, Alice Springs, NT","PO Box 2508, Alice Springs, 0871, NT",admin.olshalice@nt.catholic.edu.au,(08) 8950 6400,Caddy,Principal,08 8950 6400,admin.olshalice@nt.catholic.edu.au
OLSH Thamarrurr Catholic College,"n/a, Wadeye (Port Keats), NT","Wadeye, Port Keats, via Winnellie, 0822, NT",admin.olshtcs@nt.catholic.edu.au,(08) 8978 2477,Young,Principal,(08) 8978 2477,john.young@nt.catholic.edu.au
OLSH College - Traeger Campus,"8 Traeger Ave, Alice Springs, NT","PO Box 2508, Alice Springs, 0871, NT",admin.olshalice@nt.catholic.edu.au,(08) 8950 6400,Caddy,Principal,08 8950 6400,admin.olshalice@nt.catholic.edu.au
OLSH College - Sadadeen Campus,"Sadadeen Rd, Alice Springs, NT","PO Box 2508, Alice Springs, 0871, NT",admin.olshalice@nt.catholic.edu.au,(08) 8950 6400,Dhingra,Head of Campus,08 8950 6400,jasmeet.dhingra@ntschools.net
Nyangatjatjara College - Yulara Campus,"N/A, Yulara, NT","PO Box 171, Yulara, 0872, NT",ceo@nyangatjatjaracollege.org.au,(08) 8956 2555,Harvey,Principal,8956 2555,ceo@nyangatjatjaracollege.org.au
O'Loughlin Catholic College,"70 Mueller Rd, Karama, NT","P O Box 41911, Casuarina, 0811, NT",secretary.oloughlin@nt.catholic.edu.au,(08) 8945 1277,Bowden,Principal,(08) 8945 1277,rhett.bowden@nt.catholic.edu.au
Nyirripi School,"N/A, Nyirripi, NT","PMB 125, via Alice Springs, 0872, NT",ken.millar@education.nt.gov.au,(08) 8956 8880,Millar,Principal,(08) 8956 8880,ken.millar@education.nt.gov.au
Nyangatjatjara College - Imanpa Campus,"not available, not available, NT","PO Box 171, Yulara, 0872, NT",ceo@nyangatjatjaracollege.org.au,(08) 8956 7038,Harvey,Principal,8956 7038,ceo@nyangatjatjaracollege.org.au
Nyangatjatjara College - Docker Rvr Campus,"N/A, Kaltukatjara (Docker River), NT","PO Box 171, Yulara, 0872, NT",ceo@nyangatjatjaracollege.org.au,(08) 8956 7098,Rhodes,Principal,8956 7098,stewart@nyangatjatjaracollege.org.au
Numbulwar School,"N/A, Numbulwar, NT","PMB 68, WINELLIE, 0822, NT",cheryl.dwyer@education.nt.gov.au,(08) 8975 4650,Dwyer,Principal,(08) 8975 4650,cheryl.dwyer@education.nt.gov.au
Ntaria School,"N/A, Hermannsburg (Ntaria), NT","PMB 4, via Alice Springs, 0872, NT",ntariasch.admin@education.nt.gov.au,(08) 8956 7424,Langton,Principal,(08) 8956 7424,emma.langton@education.nt.gov.au
NT School of Distance Education,"The Bullocky Point Education Precinct, Atkins Dr, The Gardens, 0820, NT","PO Box 40471, Casuarina, 0811, NT",ntsde.admin@education.nt.gov.au,(08) 892 22292,McCormick,Administration Manager,(08) 892 22183,annisa.mccormick@education.nt.gov.au
NT Music School,"60 Matthews Rd, Wulagi 0812, NT","PO Box 455, Sanderson, 0813, NT",nt.musicschool@education.nt.gov.au,(08) 896 35550,Grose,Principal,(08) 896 35551,bill.grose@education.nt.gov.au
Nightcliff Primary School,"17 Pandanus St, Nightcliff, 0810, NT","PO BOX 798, NIGHTCLIFF, 0810, NT",nightcliff.ps@education.nt.gov.au,(08) 8948 8488,Glennon,Principal,(08) 8948 8488,jo.glennon@education.nt.gov.au
Nightcliff Middle School,"90 Aralia St, Rapid Creek, 0810, NT","90 Aralia St, NIGHTCLIFF, 0810, NT",admin.nightms@education.nt.gov.au,(08) 898 37677,Isaksen,Principal,(08) 898 37672,marty.isaksen@education.nt.gov.au
Nhulunbuy Christian School,"N/A, Nhulunbuy, NT","PO Box 621, Nhulunbuy, 0881, NT",admin.ncc@ntschools.net,(08) 8965 2900,Vanseters,Principal,8965 2900,tanya.vanseters@ntschools.net
Nhulunbuy High School,"51 Matthew Flinders Way, Nhulunbuy, 0880, NT","PO Box 1096, NHULUNBUY, 0881, NT",nhulunbuy.high@education.nt.gov.au,(08) 898 70844,Hill,Principal,08 898 70844,karen.hill@education.nt.gov.au
Nhulunbuy Primary School,"60 Chesterfield Cct, Nhulunbuy, 0880, NT","PO Box 321, NHULUNBUY, 0881, NT",nps.frontoffice@education.nt.gov.au,(08) 898 70022,Hammill,Principal,(08) 898 70022,tracy.hammill@education.nt.gov.au
Ngukurr School,"Bawuda St, Ngukurr, 0852, NT","PMB 138, KATHERINE, 0851, NT",ngukurr.cec@education.nt.gov.au,(08) 8975 4680,Branson,Business Manager,(08) 897 25397,julie.branson@education.nt.gov.au
Nganmarriyanga School,"N/A, Palumpa, NT","PMB 85, via WINNELLIE, 0822, NT",sharon.reeves@education.nt.gov.au,(08) 8978 2380,Broadbent,Business Manager,(08) 894 49277,margaret.broadbent@education.nt.gov.au
Nganambala School,"n/a, Emu Point, NT","PMB 218, Via Winnellie, 0822, NT",samuel.sailor@education.nt.gov.au,(08) 8978 2001,Pedersen,Administration Manager,(08) 8901 4913,carmel.pedersen@education.nt.gov.au
Newcastle Waters School,"11 Drovers Dr, Newcastle Waters, NT","Newcastle Waters Station, via Elliott, 0862, NT",emily.hubbert@education.nt.gov.au,(08) 8964 4566,Hubbert,Principal,(08) 8964 4566,emily.hubbert@education.nt.gov.au
Neutral Junction School,"Stuart Hwy, Neutral Junction, NT","Neutral Junction, via Alice Springs, 0872, NT",lorraine.sligar@education.nt.gov.au,(08) 8956 9754,Batu,Administration Manager,(08) 896 32013,bob.babu@education.nt.gov.au
Nemarluk School,"30 Styles St, Alawa, 0810, NT","PO Box 39729, WINNELLIE, 0821, NT",admin.nemarluk@education.nt.gov.au,(08) 898 50400,Hughes,Principal,(08) 898 50400,virg.hughes@education.nt.gov.au
Nakara Primary School,"35 Nakara Tce, Nakara, 0810, NT","35 Nakara Tce, Nakara, 0810, NT",nakara.primary@education.nt.gov.au,(08) 8927 9823,Mckenzie,Co-Principal,(08) 8927 9823,megan.mckenzie@education.nt.gov.au
Mutitjulu School,"Mutitjulu, Ayers Rock, NT","PO Box 121, Yulara, 0872, NT",mutitjulu.school@education.nt.gov.au,(08) 8956 2547,Churches,Administration Manager,(08) 895 11656,rowan.churches@education.nt.gov.au
Murrupurtiyanuwu Catholic Primary School,"Kerinauia Highway, Nguiu, NT","PO Box 45, Wurrumiyanga, Bathurst Island, via Winnellie, 0822, NT",admin.mcs@nt.catholic.edu.au,(08) 8978 3986,Muldoon,Principal,(08) 8978 3986,berkly.muldoon@nt.catholic.edu.au
Murray Downs School,"Outstation, Murray Downs(Imangara), NT","PMB 48, Alice Springs, 0872, NT",marilyn.sonnenburg@education.nt.gov.au,(08) 8964 1951,Sonnenburg,Principal,(08) 8964 1951,marilyn.sonnenburg@education.nt.gov.au
Mulga Bore School,"n/a, Mulga Bore Community, NT","PMB 18, via Alice Springs, 0872, NT",tba,(08) 8956 9712,Cortez,Administration Manager,(08) 895 11637,gesheila.cortez@education.nt.gov.au
Mount Allan School,"N/A, Yuelamu, NT","PMB  6, Mount Allan School via Alice Springs, 0872, NT",phil.bartley@education.nt.gov.au,(08) 8956 8860,Bartley,Principal,(08) 8956 8860,phil.bartley@education.nt.gov.au
Moulden Primary School,"103 Bonson Tce, Moulden, 0830, NT","PO Box 80, PALMERSTON, 0831, NT",mouldenps.admin@ntschools.net,(08) 8930 5900,Brady,Principal,(08) 8930 5900,ali.brady@education.nt.gov.au
Mother Teresa Catholic Primary School,"Ginger St, Zuccoli, NT","PO Box 1125, Palmerston, 0830, ",principal.motherteresa@nt.catholic.edu.au,(08) 7969 5600,Johnson,Principal,(08) 7969 5600,principal.motherteresa@nt.catholic.edu.au
Minyerri School,"N/A, Minyerri (Hodgson Downs), NT","PMB 40, KATHERINE, 0851, NT",jess.robinson@education.nt.gov.au,(08) 8975 9972,Fisher,Administration Manager,(08) 897 25358,jodie.fisher@education.nt.gov.au
Moil Primary School,"37 Lanyon Tce, Moil, 0810, NT","37 Lanyon Tce, MOIL, 0810, NT",admin.moilsch@education.nt.gov.au,(08) 898 37530,Erfurt,Principal,(08) 898 37530,pam.erfurt@education.nt.gov.au
Mimik-Ga Centre,"4 Henbury Ave, Wanguri, 0810, NT","PO Box 40519, Casuarina, 0811, NT",admin.mimik-ga@education.nt.gov.au,(08) 898 37900,Mangohig,Principal,(08) 898 37900,mark.mangohig@education.nt.gov.au
Milyakburra School,"N/A, Milyakburra (Bickerton Island), NT","PMB 5, Bickerton Island, via Winnellie, 0822, NT",ruth.rawnsley@education.nt.gov.au,(08) 8987 6084,Milyakburra,Administration Manager,tba,finance.milyakburra@education.nt.gov.au
Milkwood Steiner,"107 Boulter Road, Berrimah NT 0828, Marrara, NT","PO Box 319, Karama, 0812, NT",info@milkwood.nt.edu.au,08 8947 0608, ,Business Manager,8947 0608,admin@milkwood.nt.edu.au
Millner Primary School,"41 Sabine Rd, Millner, 0810, NT","41 Sabine Rd, MILLNER, 0810, NT",admin.millnerps@education.nt.gov.au,(08) 792 30333,Moss,Administration Manager,(08) 792 30333,megan.moss@education.nt.gov.au
Milingimbi School,"N/A, Milingimbi, 0822, NT","PMB 54, Milingimbi, via WINNELLIE, 0822, NT",michael.jones@education.nt.gov.au,(08) 8987 9902,Cameron,Administration Manager,(08) 894 49498,eden.cameron@education.nt.gov.au
