Title,Contact,Phone,Email,Website,Address,Hours,URL
Nebraska Harvest Center - Ogallala,Michael Masur,(402) 650-9936,michael.masur@nebharv.com,,"902 Oregon TrailOgallala, NE 69152",Sun: closed - closed; Mon: 08:00 AM - 05:00 PM; Tue: 08:00 AM - 05:00 PM; Wed: 08:00 AM - 05:00 PM; Thu: 08:00 AM - 05:00 PM; Fri: 08:00 AM - 05:00 PM; Sat: 08:00 AM - 12:00 PM,https://www.machinerypete.com/store/nebraska-harvest-center-ogallala
Nebraska Harvest Center - Seward,Michael Masur,(402) 650-9936,michael.masur@nebharv.com,,"925 280th RoadSeward, NE 68434",Sun: closed - closed; Mon: 08:00 AM - 05:00 PM; Tue: 08:00 AM - 05:00 PM; Wed: 08:00 AM - 05:00 PM; Thu: 08:00 AM - 05:00 PM; Fri: 08:00 AM - 05:00 PM; Sat: 08:00 AM - 12:00 PM,https://www.machinerypete.com/store/nebraska-harvest-center-seward
"Nebraska Equipment, Inc. - Seward",Kendall Nitzsche,(402) 382-9815,kendalln@nebraskaequip.com,http://www.nebraskaequip.com,"1275 280th St.Seward, NE 68434",Sun: closed - closed; Mon: 07:30 AM - 05:30 PM; Tue: 07:30 AM - 05:30 PM; Wed: 07:30 AM - 05:30 PM; Thu: 07:30 AM - 05:30 PM; Fri: 07:30 AM - 05:30 PM; Sat: 07:30 AM - 12:00 PM,https://www.machinerypete.com/store/nebraska-equipment-inc-seward
Nebraska Harvest Center - Kearney,Michael Masur,(402) 650-9936,michael.masur@nebharv.com,http://www.nebharv.com,"6430 E Highway 30Kearney, NE 68847",Sun: closed - closed; Mon: 08:00 AM - 05:00 PM; Tue: 08:00 AM - 05:00 PM; Wed: 08:00 AM - 05:00 PM; Thu: 08:00 AM - 05:00 PM; Fri: 08:00 AM - 05:00 PM; Sat: 08:00 AM - 12:00 PM,https://www.machinerypete.com/store/nebraska-harvest-center-kearney
"Miller Sales, Inc. - Clatonia",Sales Department,(402) 809-5157,sales@millersales1.com,http://www.millersales1.com,"4841 SW 86th Rd.Clatonia, NE 68328",Sun: closed - closed; Mon: 08:00 AM - 05:00 PM; Tue: 08:00 AM - 05:00 PM; Wed: 08:00 AM - 05:00 PM; Thu: 08:00 AM - 05:00 PM; Fri: 08:00 AM - 05:00 PM; Sat: 08:00 AM - 12:00 PM,https://www.machinerypete.com/store/miller-sales-inc-clatonia
Mitchell Equipment - Atkinson,Dirk Mitchell,(402) 347-4562,sales@mitchellequip.com,http://www.mitchellequip.com,"311 South Hwy. 11Atkinson , NE 68713",Sun: closed - closed; Mon: 08:00 AM - 05:30 PM; Tue: 08:00 AM - 05:30 PM; Wed: 08:00 AM - 05:30 PM; Thu: 08:00 AM - 05:30 PM; Fri: 08:00 AM - 05:30 PM; Sat: 08:00 AM - 02:00 PM,https://www.machinerypete.com/store/mitchell-equipment-atkinson
Mitchell Equipment - Humphrey,Sales Department,(402) 923-1622,dirk@mitchellequip.com,https://www.mitchellequip.com/,"47175 US Hwy 81Humphrey, NE 68642",Sun: closed; Mon: 07:30 AM - 05:30 PM; Tue: 07:30 AM - 05:30 PM; Wed: 07:30 AM - 05:30 PM; Thu: 07:30 AM - 05:30 PM; Fri: 07:30 AM - 05:30 PM; Sat: 07:30 AM - 12:00 PM,https://www.machinerypete.com/store/mitchell-equipment-humphrey
"LandMark Implement, Inc. - Superior",Scott Bieck,(402) 922-8493,leads@landmarkimp.com,http://www.landmarkimp.com/,"1890 Idaho StreetSuperior, NE 68978",Sun: closed - closed; Mon: 08:00 AM - 05:00 PM; Tue: 08:00 AM - 05:00 PM; Wed: 08:00 AM - 05:00 PM; Thu: 08:00 AM - 05:00 PM; Fri: 08:00 AM - 05:00 PM; Sat: 08:00 AM - 12:00 PM,https://www.machinerypete.com/store/landmark-implement-inc-superior
Marx Repair - Battle Creek,Bill Marx,(402) 675-4086,marx@hotmail.com,https://www.marxrepair.com,"54659 838th RoadBattle Creek, NE 68715",Sun: closed; Mon: 07:30 AM - 06:00 PM; Tue: 07:30 AM - 06:00 PM; Wed: 07:30 AM - 06:00 PM; Thu: 07:30 AM - 06:00 PM; Fri: 07:30 AM - 06:00 PM; Sat: 07:30 AM - 12:00 PM,https://www.machinerypete.com/store/marx-repair-battle-creek
"LandMark Implement, Inc. - Red Cloud",Mat Habrock,(402) 347-2919,leads@landmarkimp.com,http://www.landmarkimp.com/,"702 Road 1100Red Cloud, NE 68970",Sun: closed - closed; Mon: 08:00 AM - 05:00 PM; Tue: 08:00 AM - 05:00 PM; Wed: 08:00 AM - 05:00 PM; Thu: 08:00 AM - 05:00 PM; Fri: 08:00 AM - 05:00 PM; Sat: 08:00 AM - 12:00 PM,https://www.machinerypete.com/store/landmark-implement-inc-red-cloud
"Sandberg Implement, Inc. - Gering",Sales Department,(308) 217-0517,tyler@sandbergimplement.com,https://www.sandbergimplement.com/index.htm,"160085 HWY 71Gering, NE 69341",Sun: closed; Mon: closed; Tue: closed; Wed: closed; Thu: closed; Fri: closed; Sat: closed,https://www.machinerypete.com/store/sandberg-implement-inc-gering
"LandMark Implement, Inc. - Minden",Jeff Huston,(308) 946-7629,leads@landmarkimp.com,http://www.landmarkimp.com/,"1190 33 Rd.Minden, NE 68959",Sun: closed - closed; Mon: 08:00 AM - 05:00 PM; Tue: 08:00 AM - 05:00 PM; Wed: 08:00 AM - 05:00 PM; Thu: 08:00 AM - 05:00 PM; Fri: 08:00 AM - 05:00 PM; Sat: 08:00 AM - 12:00 PM,https://www.machinerypete.com/store/landmark-implement-inc-minden
"LandMark Implement, Inc. - Shelton",Roger Schuster,(308) 365-1944,leads@landmarkimp.com,http://www.landmarkimp.com/,"323 East Hwy. 30Shelton, NE 68876",Sun: closed; Mon: 08:00 AM - 05:00 PM; Tue: 08:00 AM - 05:00 PM; Wed: 08:00 AM - 05:00 PM; Thu: 08:00 AM - 05:00 PM; Fri: 08:00 AM - 05:00 PM; Sat: 08:00 AM - 12:00 PM,https://www.machinerypete.com/store/landmark-implement-inc-shelton
"LandMark Implement, Inc. - Holdrege",Jeff Huston,(308) 946-7923,leads@landmarkimp.com,http://www.landmarkimp.com/,"73049 L Rd.Holdrege, NE 68949",Sun: closed; Mon: 08:00 AM - 05:00 PM; Tue: 08:00 AM - 05:00 PM; Wed: 08:00 AM - 05:00 PM; Thu: 08:00 AM - 05:00 PM; Fri: 08:00 AM - 05:00 PM; Sat: 08:00 AM - 12:00 PM,https://www.machinerypete.com/store/landmark-implement-inc-holdrege
"Osceola Implement & Supply - Osceola, NE",Sales Department,(402) 747-2371,todd@osceolaimplement.com,http://www.osceolaimplement.com/default.htm,"Highways 81-92Osceola, NE 68651",Sun: closed; Mon: 08:00 AM - 05:00 PM; Tue: 08:00 AM - 05:00 PM; Wed: 08:00 AM - 05:00 PM; Thu: 08:00 AM - 05:00 PM; Fri: 08:00 AM - 05:00 PM; Sat: 08:00 AM - 12:00 PM,https://www.machinerypete.com/store/osceola-implement-supply-osceola-ne
"LandMark Implement, Inc. - Fairfield",Scott Bieck,(402) 882-7142,leads@landmarkimp.com,http://www.landmarkimp.com/,"1131 Highway 74Fairfield, NE 68938",Sun: closed - closed; Mon: 08:00 AM - 05:00 PM; Tue: 08:00 AM - 05:00 PM; Wed: 08:00 AM - 05:00 PM; Thu: 08:00 AM - 05:00 PM; Fri: 08:00 AM - 05:00 PM; Sat: 08:00 AM - 12:00 PM,https://www.machinerypete.com/store/landmark-implement-inc-fairfield
"LandMark Implement, Inc. - Hastings",Mat Habrock,(402) 542-3103,leads@landmarkimp.com,http://www.landmarkimp.com/,"4815 West Highway 6Hastings, NE 68901",Sun: closed - closed; Mon: 08:00 AM - 05:00 PM; Tue: 08:00 AM - 05:00 PM; Wed: 08:00 AM - 05:00 PM; Thu: 08:00 AM - 05:00 PM; Fri: 08:00 AM - 05:00 PM; Sat: 08:00 AM - 12:00 PM,https://www.machinerypete.com/store/landmark-implement-inc-hastings
"LandMark Implement, Inc. - Kearney",Roger Schuster,(308) 470-5706,leads@landmarkimp.com,http://www.landmarkimp.com/,"3108 Hwy. 30 EastKearney, NE 68847",Sun: closed - closed; Mon: 08:00 AM - 05:00 PM; Tue: 08:00 AM - 05:00 PM; Wed: 08:00 AM - 05:00 PM; Thu: 08:00 AM - 05:00 PM; Fri: 08:00 AM - 05:00 PM; Sat: 08:00 AM - 12:00 PM,https://www.machinerypete.com/store/landmark-implement-inc-kearney
"LandMark Implement, Inc. - Hebron",Bob Dunn,(402) 882-7104,leads@landmarkimp.com,http://www.landmarkimp.com/,"745 N 13thHebron, NE 68370",Sun: closed - closed; Mon: 08:00 AM - 05:00 PM; Tue: 08:00 AM - 05:00 PM; Wed: 08:00 AM - 05:00 PM; Thu: 08:00 AM - 05:00 PM; Fri: 08:00 AM - 05:00 PM; Sat: 08:00 AM - 12:00 PM,https://www.machinerypete.com/store/landmark-implement-inc-hebron
"LandMark Implement, Inc. - Beatrice",Bob Dunn,(402) 922-8097,leads@landmarkimp.com,http://www.landmarkimp.com/,"21693 US Hwy. 77Beatrice, NE 68310",Sun: closed - closed; Mon: 08:00 AM - 05:00 PM; Tue: 08:00 AM - 05:00 PM; Wed: 08:00 AM - 05:00 PM; Thu: 08:00 AM - 05:00 PM; Fri: 08:00 AM - 05:00 PM; Sat: 08:00 AM - 12:00 PM,https://www.machinerypete.com/store/landmark-implement-inc-beatrice
"LandMark Implement, Inc. - Lexington",Scott Fitzke,(308) 708-2173,leads@landmarkimp.com,http://www.landmarkimp.com/,"75482 Road 435Lexington, NE 68850",Sun: closed; Mon: 08:00 AM - 05:00 PM; Tue: 08:00 AM - 05:00 PM; Wed: 08:00 AM - 05:00 PM; Thu: 08:00 AM - 05:00 PM; Fri: 08:00 AM - 05:00 PM; Sat: 08:00 AM - 12:00 PM,https://www.machinerypete.com/store/landmark-implement-inc-lexington
"Kramer Manufacturing - Atkinson, NE",Sales Department,(402) 268-5838,brentdgokie@gmail.com,http://www.kramermanufacturing.com,"108 West Union StreetAtkinson, NE 68713",Sun: closed - closed; Mon: 08:00 AM - 06:00 PM; Tue: 08:00 AM - 06:00 PM; Wed: 08:00 AM - 06:00 PM; Thu: 08:00 AM - 06:00 PM; Fri: 08:00 AM - 06:00 PM; Sat: closed - closed,https://www.machinerypete.com/store/kramer-manufacturing-atkinson-ne
